Row Taxon Label	Title	Start Index	End Index	GenBank Accession	Other Accession Num	Raw Date	Sample Date	Collector	Herbarium	Latitude	Lat Raw	Longitude	Long Raw	Elevation	Country	State	Locality	Notes	.
Brigantiaea cf. leucoxantha		1	7019			5.6.2008	2008-06-05	"P. & B. v.d. Boom 40691, D. & M. Brand, E. Sérusiaux"	P.v.d. Boom Herb.	-21.02833333	21º01.7'S	55.61166667	 55º36.7'E 	730	Mascarene Islands	La Réunion	"SW of St-André, N edge of Forêt Domaniale de la Plaine des Lianes, E-W trail, S of Cascade du Chien to Abri, boulders and outcrops in stream ‘Bras des Lianes’"	"tropical forest,  on Guave"	
Brigantiaea tricolor		1	7019			2.6.2008	2008-06-02	"P. & B. v.d. Boom 40492, D. & M. Brand & E. Sérusiaux "	P.v.d. Boom Herb.					1980 m	Mascarene Islands	La Réunion	"NW of Plaine-des-Palmistes, NW side of Forêt de Bébour, trail GR R1 from Gite de Bélouve, c. 3.5km to the south-west, to Caverne Mussard, "	"well-lit area with mixed shrubs, including Philippia sp., on Phylia sp."	
Brigantiaea fuscolutea		1	7019			1.8.2008	2008-08-01	T. Spribille 26961 	GZU	59.61388333	59º36.833’N	-135.15005	135º09.003’W	948 m	USA	Alaska	"N of Skagway, White Pass, alpine"	 over rocks on detritus in dry snowbed	
Caloplaca aegaea		1	7019			11.01.2001	2001-01-11	E. Gaya 248 & X. Llimona						3-5 m	Spain	Catalonia	"Girona prov., Alt Empordà, Llançà, Cau del Llop, wall facing North, slope 10º-30º"		
Caloplaca aetnensis		1	7019			23.01.2001	2001-01-23	leg. X. Llimona s.n. 	BCN						Spain	Catalonia	"Girona prov., Alt Empordà, Castell de Quermançó (Vilajuïga)"	"facing South, slope 80º, weathered granite"	
Caloplaca catalinae		1	7019			02.26.10	2010-02-26	 E. Gaya 02.26.10-13 & F. Lutzoni 	DUKE	34.00903333	34º00.542'N	-119.7822333	119º46.934'W	405 m	USA	California	"Sta. Cruz Island, South ridge road"	"Quercus pacifica forest/shrub, very exposed to light, flat, on branches of dead scrub oaks"	
Caloplaca aff. luteominia		1	7019			02.23.10	2010-02-23	"E. Gaya 02.23.10-17, F. Lutzoni "	DUKE	34.31465	34º18.879'N 	-116.80825	116º48.495'W	1863 m	USA	California	"San Bernardino mountains, Cactus Flats, road 18, after Big Bear city, rocky hill"	" Joshua tree with Juniper and oaks, 45º of slope, on granitic boulders, carbonated, on sides of rainwater runoff"	
Caloplaca arnoldii ssp. obliterata		1	7019			9.8.2006	2006-08-09	"E. Gaya, P. Navarro-Rosinés, U. Arup, U. Sochting, N. Hladun, A. Gómez-Bolea "	BCN	57.29848056	57º17'54.53''N	12.12491111	12º 07'29.68''E	0-2 m	Sweden	 Halland	"Varberg, Vendelsö island"	on siliceous rocks	
Caloplaca aurantia		1	7019			23.02.1999	1999-02-23	P. Navarro- Rosinés & X. Llimona s.n. 	BCN 13326	41.82222222	41º49'20''N 	1.419444444	1º25'10''E	450-550 m	Spain	Catalonia	"Lleida prov., Segarra, Torà, slopes in the right side of the road to Solsona, Km 13, in front of Sant Miquel de Fontanet church"	"blocks of carbonated sandstone, Quercus faginea brushwood"	
Caloplaca bolacina		1	7019			21.02.1993	1993-02-21	Pere Navarro-Rosinés	BCN-Lich 12532	27.25	27º15'N	-113.1833333	113º11'W	60-260 m	Mexico	Baja California sur	"Sta Rosalia - Guerrero Negro, Desierto de Vizacíno, Llano El Angel, N of San Ignacio, 3,5 km from highway 1 along road to punta Abreojos"	volcanic rocks	
Caloplaca aff. durietzii		1	7019			02.25.10	2010-02-25	E. Gaya 02.25.10-4 & F.Lutzoni	DUKE	33.56255	33º33.753'N	-116.5774833	116º34.649'W	1493 m	USA	California	" Saint Jacinto mountains, Highway 74, on the other side of the road from, along the pacific crest trail, 4 1/2 from Table Mountain road"	"desert chaparral, dry, sun-exposed, flat, on Quercus with leaves"	
Caloplaca brouardii		1	7019			03.03.10	2010-03-03	 E. Gaya 03.03.10-3 & F. Lutzoni	DUKE	25.95165	25º57.099'N	-111.5164	111º30.984'W	514 m	Mexico	Baja California South	"Loreto, Sierra La Giganta, on the road from Loreto to San Javier, next to cinegetic ranch, on plateau, after Las Parras"	"shrubs (leguminose) and cactus, sun-exposed, little cliff, facing creek N-NE, exposure North, slope 0-5º flat, substrate locality is volcanic-basaltic, sample collected in different rocks, less vitrified conglomerate"	
Caloplaca cancarixiticola		1	7019			03.1981	1981-03	X. Llimona & J.M. Egea s.n.	"MUB, holotype"					 671 m	Spain	Castilla-La Mancha	"Albacete prov., between Agramón and Cáncarix (Sierra de las Cabras)"	on cancarixite	
Caloplaca carphinea		1	7019			11.1.2001	2001-01-11	"E. Gaya 201, X. Llimona & M. De Cáceres "	BCN 13714					 200-300 m	Spain	Catalonia	"Girona prov., Alt Empordà, P.N. Cap de Creus, Roses, near Puig del Gall, above Mas de la Torre del Sastre, Jóncols road"	quartzite blocks	
Caloplaca cerina		1	7019			22.7.2007	2007-07-22	"E. Gaya, J. Geml, J. Gomà"	DUKE	65.28715	N65º17.229'	-148.1922833	W148º11.537'	400 m	USA	Alaska	Elliott Hway	"ca. mile 40, on aspen"	
Caloplaca chalybaea		1	7019			14.8.2006	2006-08-14	"E. Gaya, P. Navarro-Rosinés, U. Arup, U. Sochting, N. Hladun, A. Gómez-Bolea "	BCN	57.425	57º25'30''N	18.84	18º50'24''E	33 m 	Sweden	Gotland	"Östergarn par., Österganberget"	on calcareous rocks	
Caloplaca chilensis		1	7019			 5.2008		D. Stanton 0212-0508	SGO	-30.66333333	30º39'48''S	-71.07325	71º4'23.7''W	455 m	Chile		"P.N. Fray Jorge, IVrta Región"	on twigs	
Caloplaca chlorina		1	7019			09/05/2009	2009-05-09	Ulf Arup L09009	LD						Sweden	Skåne	" Genarp par., Genarp church, at the parking place W of the churchyard"	"on Fraxinus in open, nutrient-enriched situation"	
Caloplaca chrysophthalma		1	7019			03.08.10	2010-03-08	E. Gaya 03.08.10-4 & F. Lutzoni	DUKE	29.61681667	29º37.009'N	-109.9489	109º56.934'W	912 m	Mexico	Sonora	along road 14 to Moctezuma	"open forest, partially shaded, top of mountain, epiphytic on bark of the dominant tree"	
Caloplaca cinnabarina		1	7019			03.05.10	2010-03-05	E. Gaya 03.05.10-11 & F. Lutzoni 	DUKE	23.51621667	23º30.973'N 	-110.03875	110º02.325'W	680 m	Mexico	Baja California	along trail between La Burrera and La Laguna	"legume small trees and cactus, 75% sun-exposed site, exposure W, slope 70º, west exposure, humid, on rock boulders along trail"	
Caloplaca cinnamomea		1	7019			8.6.2006	2006-06-08	 F. Lutzoni & C. Gueidan 06.08.07-1 	DUKE	65.64	65°38'24''N	-17.16333333	17°09'48''W		Iceland		"Sudur-Thingeyjarsysla County, Laxardalur Valley, by Laxa river close to abandoned farm Brettingsstadir"	"on mosses on soil on big lava extrusion, about 50 m from river"	
Caloplaca coralloides		1	7019			15 March 1998	1998-03-15	T.H. Nash III 41158 	ASU 511740	34.07083333	"34º4'15""N"	-120.3597222	"120º21'35""W"	30 m	USA	California	"Santa Barbara, San Miguel Island, secondary point at the beginning (N-side) of Harris Point"	acidic rock	
Caloplaca coronata		1	7019			5.9.2007	2007-09-05	 P. & B. v.d. Boom 38374	P.v.d. Boom Herb.	37.14666667	37º 08'48''N	-1.943611111	1º55'97''W	90 m	Spain	Almería	"ENE of Almería, N rim of Sierra Cabrera, W of Mojácar, W of Turre, road AL150, near bridge over Rio de Aguas"	"N exposed rocky and grassy slope with some shrubs and Chamareops humilis, terricolous and mostly low outcrops, on vertical shaded low outcrop"	
Caloplaca crenularia		1	7019			 11.8.2006	2006-08-11	"E. Gaya, P. Navarro-Rosinés, U. Arup, U. Sochting, N. Hladun, A. Gómez-Bolea"	BCN	58.32848056	58º19'42.53''N	11.2467	11º14'48.12''E	5 m	Sweden	Bohuslän	"Kungshamn par., Sunnerskär"	granitic islands	
Caloplaca crenulatella		1	7019			02.24.10	2010-02-24	E. Gaya 02.24.10-23 & F. Lutzoni	DUKE	33.65621667	33º39.373'N	-116.5842667	116º35.056'W	1559 m	USA	California	end of Morris Ranch Road above Cedar Springs Trail	"chaparral and yucca, completely open-exposed site, slope 50º, dry, on limestone"	
