Row Taxon Label	Title 21_mt_genome_protein_alignment	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes	
Liposcelis paeta		1	2140							Liposcelis paeta								
Liposcelis entomophila		1	2140							Liposcelis entomophila								
Liposcelis decolor		1	2140							Liposcelis decolor								
Liposcelis bostrychophila		1	2140							Liposcelis bostrychophila								
Longivalvus hyalospilus		1	2140							Longivalvus hyalospilus								
Psococerastis albimaculata		1	2140							Psococerastis albimaculata								
 Lepidopsocidae sp. RS-2001		1	2140							 Lepidopsocidae sp. RS-2001								
Bothriometopus macrocnemis		1	2140							Bothriometopus macrocnemis								
Campanulotes bidentatus		1	2140							Campanulotes bidentatus								
Coloceras sp. SLC-2001		1	2140							Coloceras sp. SLC-2001								
Heterodoxus macropus		1	2140							Heterodoxus macropus								
Ibidoecus bisignatus		1	2140							Ibidoecus bisignatus								
Pediculus capitis		1	2140							Pediculus capitis								
Pediculus humanus		1	2140							Pediculus humanus								
Pthirus pubis		1	2140							Pthirus pubis								
Haematopinus suis		1	2140							Haematopinus suis								
Haematopinus apri		1	2140							Haematopinus apri								
Haematopinus asini		1	2140							Haematopinus asini								
Polyplax asiatica		1	2140							Polyplax asiatica								
Polyplax spinulosa		1	2140							Polyplax spinulosa								
Drosophila melanogaster		1	2140							Drosophila melanogaster								
