Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes	
Eleutherodactylus_coqui		1	559							Eleutherodactylus_coqui								
Diasporus_tigrillo_UCR22364		1	559							Diasporus_tigrillo_UCR22364								
Diasporus_tigrillo_UCR22365		1	559							Diasporus_tigrillo_UCR22365								
Diasporus_tigrillo_UCR22366		1	559							Diasporus_tigrillo_UCR22366								
Diasporus_tigrillo_UCR22367		1	559							Diasporus_tigrillo_UCR22367								
Diasporus_tigrillo_UCR22368		1	559							Diasporus_tigrillo_UCR22368								
Diasporus_citrinobapheus_MHCH2371		1	559							Diasporus_citrinobapheus_MHCH2371								
Diasporus_citrinobapheus_MHCH2370		1	559							Diasporus_citrinobapheus_MHCH2370								
Diasporus_citrinobapheus_SMF89820		1	559							Diasporus_citrinobapheus_SMF89820								
Diasporus_aff_citrinobapheus_USNM572443		1	559							Diasporus_aff_citrinobapheus_USNM572443								
Diasporus_aff_citrinobapheus_USNM572442		1	559							Diasporus_aff_citrinobapheus_USNM572442								
Diasporus_aff_citrinobapheus_USNM572455		1	559							Diasporus_aff_citrinobapheus_USNM572455								
Diasporus_aff_citrinobapheus_USNM572454		1	559							Diasporus_aff_citrinobapheus_USNM572454								
Diasporus_aff_citrinobapheus_MVUP1830		1	559							Diasporus_aff_citrinobapheus_MVUP1830								
Diasporus_aff_citrinobapheus_MVUP1783		1	559							Diasporus_aff_citrinobapheus_MVUP1783								
Diasporus_quidditus_MVUP1832		1	559							Diasporus_quidditus_MVUP1832								
Diasporus_quidditus_USNM572444		1	559							Diasporus_quidditus_USNM572444								
Diasporus_citrinobapheus_SMF89814		1	559							Diasporus_citrinobapheus_SMF89814								
Diasporus_aff_diastema1_MVZ203844		1	559							Diasporus_aff_diastema1_MVZ203844								
Diasporus_aff_hylaeformis_SMF89875		1	559							Diasporus_aff_hylaeformis_SMF89875								
Diasporus_aff_hylaeformis_SMF89872		1	559							Diasporus_aff_hylaeformis_SMF89872								
Diasporus_aff_hylaeformis_SMF89869		1	559							Diasporus_aff_hylaeformis_SMF89869								
Diasporus_aff_hylaeformis_SMF89868		1	559							Diasporus_aff_hylaeformis_SMF89868								
Diasporus_aff_diastema1_UCR16264		1	559							Diasporus_aff_diastema1_UCR16264								
Diasporus_aff_diastema2_MVUP1826		1	559							Diasporus_aff_diastema2_MVUP1826								
Diasporus_aff_diastema2_USNM572546		1	559							Diasporus_aff_diastema2_USNM572546								
Diasporus_vocator_FMNH257769		1	559							Diasporus_vocator_FMNH257769								
Diasporus_vocator_UCR21857		1	559							Diasporus_vocator_UCR21857								
Diasporus_vocator_UCR20479		1	559							Diasporus_vocator_UCR20479								
